Match	LatinskNavn_id	name	Classification	Trophy	Kingdom	Supergroup	Division	Class	Order	Family	Genus	Species	Classification_1
Acanthoica	117134	Acanthoica_quattrospina	Haptophyta	Phototroph	"NA"	"NA"	"NA"	Prymnesiophyceae	NA	"NA"	Acanthoica	Acanthoica quattrospina	Haptophyta
Acanthostomella	147863	Acanthostomella_norvegica	Ciliophora	Heterotroph	"NA"	"NA"	"NA"	"NA"	NA	"NA"	"NA"	Acanthostomella norvegica	Ciliophora
Achnanthes	117721	Achnanthes_(Slekt)	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Achnanthes	Achnanthes (Slekt)	Diatoms
Achnanthes	-791	Achnanthes_2-3x10_µm	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Achnanthes	Achnanthes 2-3x10 µm	Diatoms
Achnanthes	-1015	Achnanthes_3.5-4.5x17-22_µm	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Achnanthes	Achnanthes 3.5-4.5x17-22 µm	Diatoms
Actiniscus	118278	Actiniscus_pentasterias	Dinoflagellata	"NA"	"NA"	"NA"	"NA"	Dinophyceae	Gymnodiniales	"NA"	"NA"	Actiniscus pentasterias	Dinoflagellata
Actinoptychus	117452	Actinoptychus_senarius	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Radial-centric-basal-Coscinodiscophyceae	Actinoptychus	Actinoptychus senarius	Diatoms
Akashiwo	118298	Akashiwo_sanguinea	Dinoflagellata	"NA"	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Akashiwo	Akashiwo sanguinea	Dinoflagellata
Alexandrium	118400	Alexandrium_(Slekt)	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium (Slekt)	Dinoflagellata
Alexandrium	-500	Alexandrium_23-25x23-25_µm	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium 23-25x23-25 µm	Dinoflagellata
Alexandrium	-501	Alexandrium_26-29x27_µm	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium 26-29x27 µm	Dinoflagellata
Alexandrium	-502	Alexandrium_30-32x33_µm	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium 30-32x33 µm	Dinoflagellata
Alexandrium	-503	Alexandrium_33-40x40_µm	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium 33-40x40 µm	Dinoflagellata
Alexandrium	118401	Alexandrium_minutum	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium minutum	Dinoflagellata
Alexandrium_ostenfeldii	118402	Alexandrium_ostenfeldii	Dinoflagellata	Mixotroph	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium ostenfeldii	Dinoflagellata
Alexandrium	118403	Alexandrium_pseudogonyaulax	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium pseudogonyaulax	Dinoflagellata
Alexandrium	118404	Alexandrium_tamarense	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium tamarense	Dinoflagellata
Algirosphaera	117135	Algirosphaera_(Slekt)	Other_protists	Phototroph	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Calcihaptophycidae	Rhabdosphaeraceae	Algirosphaera	Algirosphaera (Slekt)	Haptophyta
Algirosphaera	-504	Algirosphaera_10_µm	Haptophyta	Phototroph	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Calcihaptophycidae	Rhabdosphaeraceae	Algirosphaera	Algirosphaera 10 µm	Haptophyta
Algirosphaera	117137	Algirosphaera_quadricornu	Other_protists	Phototroph	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Calcihaptophycidae	Rhabdosphaeraceae	Algirosphaera	Algirosphaera quadricornu	Haptophyta
Algirosphaera_robusta	117138	Algirosphaera_robusta	Other_protists	Phototroph	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Calcihaptophycidae	Rhabdosphaeraceae	Algirosphaera	Algirosphaera robusta	Haptophyta
Amphidiniopsis	147434	Amphidiniopsis_(Slekt)	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Amphidiniopsidaceae	Amphidiniopsis	Amphidiniopsis (Slekt)	Dinoflagellata
Amphidinium	118299	Amphidinium_(Slekt)	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Amphidinium	Amphidinium (Slekt)	Dinoflagellata
Amphidinium	-1003	Amphidinium_>10_µm	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Amphidinium	Amphidinium >10 µm	Dinoflagellata
Amphidinium	-793	Amphidinium_10-15_µm	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Amphidinium	Amphidinium 10-15 µm	Dinoflagellata
Amphidinium	-794	Amphidinium_15-20_µm	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Amphidinium	Amphidinium 15-20 µm	Dinoflagellata
Amphidinium	-505	Amphidinium_20-25_µm	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Amphidinium	Amphidinium 20-25 µm	Dinoflagellata
Amphidinium	-506	Amphidinium_25-30_µm	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Amphidinium	Amphidinium 25-30 µm	Dinoflagellata
Amphidinium	-507	Amphidinium_30-40_µm	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Amphidinium	Amphidinium 30-40 µm	Dinoflagellata
Amphidinium	-795	Amphidinium_40-45_µm	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Amphidinium	Amphidinium 40-45 µm	Dinoflagellata
Amphidinium	-796	Amphidinium_45-50_µm	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Amphidinium	Amphidinium 45-50 µm	Dinoflagellata
Amphidinium	147735	Amphidinium_acutissimum	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Amphidinium	Amphidinium acutissimum	Dinoflagellata
Amphidinium	118300	Amphidinium_carterae	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Amphidinium	Amphidinium carterae	Dinoflagellata
Amphidinium	147736	Amphidinium_crassum	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Amphidinium	Amphidinium crassum	Dinoflagellata
Amphidinium	147739	Amphidinium_incoloratum	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Amphidinium	Amphidinium incoloratum	Dinoflagellata
Amphidinium	118301	Amphidinium_longum	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Amphidinium	Amphidinium longum	Dinoflagellata
Amphidinium	118303	Amphidinium_sphenoides	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Amphidinium	Amphidinium sphenoides	Dinoflagellata
Amphidoma	118380	Amphidoma_caudata	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Amphidomataceae	Amphidoma	Amphidoma caudata	Dinoflagellata
Amphora	117539	Amphora_(Slekt)	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Amphora	Amphora (Slekt)	Diatoms
Amphora	-797	Amphora_33-37_µm	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Amphora	Amphora 33-37 µm	Diatoms
Amylax	118405	Amylax_(Slekt)	Dinoflagellata	Mixotroph	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Amylax	Amylax (Slekt)	Dinoflagellata
Amylax	118406	Amylax_triacantha	Dinoflagellata	Mixotroph	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Amylax	Amylax triacantha	Dinoflagellata
Anabaena	-1016	Anabaena_4-5x100_µm	Cyanophyceae	Phototroph	Bacteria	Terrabacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Anabaena	Anabaena 4-5x100 µm	Cyanophyceae
Anabaenopsis	-1017	Anabaenopsis_4-5x100_µm	Cyanophyceae	Phototroph	"NA"	"NA"	"NA"	Cyanophyceae	NA	"NA"	"NA"	Anabaenopsis 4-5x100 µm	Cyanophyceae
Ankistrodesmus	118052	Ankistrodesmus_fusiformis	Chlorophyta	Phototroph	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	Ankistrodesmus	Ankistrodesmus fusiformis	Chlorophyta
Apedinella	117210	Apedinella_(Slekt)	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae	Dictyochophyceae_X	Pedinellales	Apedinella	Apedinella (Slekt)	Ochrophyta
Apedinella	-508	Apedinella_9_µm	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae	Dictyochophyceae_X	Pedinellales	Apedinella	Apedinella 9 µm	Ochrophyta
Apedinella_radians	117211	Apedinella_radians	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae	Dictyochophyceae_X	Pedinellales	Apedinella	Apedinella radians	Ochrophyta
Aphanizomenon	116889	Aphanizomenon_(Slekt)	Cyanophyceae	Phototroph	Bacteria	Terrabacteria	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Aphanizomenon	Aphanizomenon (Slekt)	Cyanophyceae
Aphanocapsa	105819	Aphanocapsa_(Slekt)	Cyanophyceae	Phototroph	Bacteria	Terrabacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Chroococcales_X	Aphanocapsa	Aphanocapsa (Slekt)	Cyanophyceae
Aphanocapsa	105820	Aphanocapsa_grevillei	Cyanophyceae	Phototroph	Bacteria	Terrabacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Chroococcales_X	Aphanocapsa	Aphanocapsa grevillei	Cyanophyceae
Aphanothece	105520	Aphanothece_(Slekt)	Cyanophyceae	Phototroph	"NA"	"NA"	"NA"	"NA"	NA	"NA"	"NA"	Aphanothece (Slekt)	Cyanophyceae
Arcocellulus_cornucervis	117461	Arcocellulus_cornucervis	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Arcocellulus	Arcocellulus cornucervis	Diatoms
Asterionella_formosa	117626	Asterionella_formosa	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Araphid-pennate	Asterionella	Asterionella formosa	Diatoms
Asterionellopsis	117628	Asterionellopsis_(Slekt)	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Araphid-pennate	Asterionellopsis	Asterionellopsis (Slekt)	Diatoms
Asterionellopsis	117629	Asterionellopsis_glacialis	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Araphid-pennate	Asterionellopsis	Asterionellopsis glacialis	Diatoms
Attheya	117380	Attheya_(Slekt)	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Attheya	Attheya (Slekt)	Diatoms
Attheya	-799	Attheya_3-4x8-10_µm	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Attheya	Attheya 3-4x8-10 µm	Diatoms
Attheya	-800	Attheya_4-5x7-8_µm	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Attheya	Attheya 4-5x7-8 µm	Diatoms
Attheya_septentrionalis	117382	Attheya_septentrionalis	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Attheya	Attheya septentrionalis	Diatoms
Attheyaceae	117378	Attheyaceae_(Familie)	Ochrophyta	Phototroph	"NA"	"NA"	"NA"	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Attheya	Attheyaceae (Familie)	Diatoms
Aulacoseira	117367	Aulacoseira_(Slekt)	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Radial-centric-basal-Coscinodiscophyceae	Aulacoseira	Aulacoseira (Slekt)	Diatoms
Aulacoseira	117373	Aulacoseira_islandica	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Radial-centric-basal-Coscinodiscophyceae	Aulacoseira	Aulacoseira islandica	Diatoms
Aulacoseira	117375	Aulacoseira_italica	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Radial-centric-basal-Coscinodiscophyceae	Aulacoseira	Aulacoseira italica	Diatoms
Azadinium	147399	Azadinium_(Slekt)	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Amphidomataceae	Azadinium	Azadinium (Slekt)	Dinoflagellata
Azadinium	-509	Azadinium_7-10x12-20_µm	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Amphidomataceae	Azadinium	Azadinium 7-10x12-20 µm	Dinoflagellata
Azadinium	147862	Azadinium_spinosum	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Amphidomataceae	Azadinium	Azadinium spinosum	Dinoflagellata
Bacillaria	117732	Bacillaria_paxillifera	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Bacillaria	Bacillaria paxillifera	Diatoms
Bacillariales	1140	Bacillariales_(Orden)	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	NA	"NA"	"NA"	Bacillariales (Orden)	Diatoms
Bacillariophyceae	1136	Bacillariophyceae_(Klasse)	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	NA	"NA"	"NA"	Bacillariophyceae (Klasse)	Diatoms
Bacteriastrum	117386	Bacteriastrum_(Slekt)	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	NA	"NA"	"NA"	Bacteriastrum (Slekt)	Diatoms
Bacteriastrum	117387	Bacteriastrum_hyalinum	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Bacteriastrum	Bacteriastrum hyalinum	Diatoms
Bacterosira	117606	Bacterosira_bathyomphala	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Bacterosira	Bacterosira bathyomphala	Diatoms
Bicosoeca	117182	Bicosoeca_(Slekt)	Stramenopila_X	"NA"	"NA"	"NA"	"NA"	"NA"	NA	"NA"	"NA"	Bicosoeca (Slekt)	Stramenopila_X
Bicosta	147946	Bicosta_minor	Chlorophyta	"NA"	"NA"	"NA"	"NA"	"NA"	NA	"NA"	"NA"	Bicosta minor	Chlorophyta
Bicosta	147947	Bicosta_spinifera	Chlorophyta	"NA"	"NA"	"NA"	"NA"	"NA"	NA	"NA"	"NA"	Bicosta spinifera	Chlorophyta
Biddulphia	117619	Biddulphia_(Slekt)	Ochrophyta	Phototroph	"NA"	"NA"	"NA"	Bacillariophyta	NA	"NA"	"NA"	Biddulphia (Slekt)	Diatoms
Botryococcus	106105	Botryococcus_(Slekt)	Cyanophyceae	"NA"	"NA"	"NA"	"NA"	"NA"	NA	"NA"	"NA"	Botryococcus (Slekt)	Cyanophyceae
Braarudosphaera	117006	Braarudosphaera_bigelowii	Haptophyta	"NA"	"NA"	"NA"	"NA"	Prymnesiophyceae	NA	"NA"	"NA"	Braarudosphaera bigelowii	Haptophyta
Calciopappus	117145	Calciopappus_(Slekt)	Haptophyta	"NA"	"NA"	"NA"	"NA"	Prymnesiophyceae	NA	"NA"	"NA"	Calciopappus (Slekt)	Haptophyta
Calliacantha	147948	Calliacantha_natans	Choanoflagellida	"NA"	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Calliacantha	Calliacantha natans	Choanoflagellida
Calycomonas	-345438	Calycomonas_gracilis	Chrysophyceae	"NA"	"NA"	"NA"	"NA"	"NA"	NA	"NA"	"NA"	Calycomonas gracilis	Chrysophyceae
Centrales	-510	Centrales_12-17_µm	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Polar-centric-Mediophyceae_X	Centrales 12-17 µm	Diatoms
Centrales	-1019	Centrales_130-150_µm	Ochrophyta	"NA"	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Polar-centric-Mediophyceae_X	Centrales 130-150 µm	Diatoms
Centrales	-511	Centrales_17-22_µm	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Polar-centric-Mediophyceae_X	Centrales 17-22 µm	Diatoms
Centrales	-512	Centrales_22-27_µm	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Polar-centric-Mediophyceae_X	Centrales 22-27 µm	Diatoms
Centrales	-513	Centrales_27-32_µm	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Polar-centric-Mediophyceae_X	Centrales 27-32 µm	Diatoms
Centrales	-514	Centrales_32-40_µm	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Polar-centric-Mediophyceae_X	Centrales 32-40 µm	Diatoms
Centrales	-515	Centrales_3-7_µm	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Polar-centric-Mediophyceae_X	Centrales 3-7 µm	Diatoms
Centrales	-804	Centrales_40-50_µm	Ochrophyta	"NA"	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Polar-centric-Mediophyceae_X	Centrales 40-50 µm	Diatoms
Centrales	-516	Centrales_50-60_µm	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Polar-centric-Mediophyceae_X	Centrales 50-60 µm	Diatoms
Centrales	-805	Centrales_60-70_µm	Ochrophyta	"NA"	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Polar-centric-Mediophyceae_X	Centrales 60-70 µm	Diatoms
Centrales	-806	Centrales_70-90_µm	Ochrophyta	"NA"	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Polar-centric-Mediophyceae_X	Centrales 70-90 µm	Diatoms
Centrales	-517	Centrales_7-12_µm	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Polar-centric-Mediophyceae_X	Centrales 7-12 µm	Diatoms
Centrales	-807	Centrales_90-110_µm	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Polar-centric-Mediophyceae_X	Centrales 90-110 µm	Diatoms
Cerataulina	117472	Cerataulina_pelagica	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Cerataulina	Cerataulina pelagica	Diatoms
Ceratium	118382	Ceratium_(Slekt)	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Ceratiaceae	Ceratium	Ceratium (Slekt)	Dinoflagellata
Ceratium	147795	Ceratium_candelabrum	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Ceratiaceae	Ceratium	Ceratium candelabrum	Dinoflagellata
Ceratium	118386	Ceratium_furca	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Ceratiaceae	Ceratium	Ceratium furca	Dinoflagellata
Ceratium	118388	Ceratium_fusus	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Ceratiaceae	Ceratium	Ceratium fusus	Dinoflagellata
Ceratium	118389	Ceratium_hirundinella	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Ceratiaceae	Ceratium	Ceratium hirundinella	Dinoflagellata
Ceratium	118391	Ceratium_horridum	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Ceratiaceae	Ceratium	Ceratium horridum	Dinoflagellata
Ceratium	118392	Ceratium_lineatum	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Ceratiaceae	Ceratium	Ceratium lineatum	Dinoflagellata
Ceratium	118393	Ceratium_longipes	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Ceratiaceae	Ceratium	Ceratium longipes	Dinoflagellata
Ceratium	118394	Ceratium_macroceros	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Ceratiaceae	Ceratium	Ceratium macroceros	Dinoflagellata
Ceratium	147804	Ceratium_minutum	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Ceratiaceae	Ceratium	Ceratium minutum	Dinoflagellata
Ceratium	118395	Ceratium_tripos	Dinoflagellata	Dinoflagellate	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Ceratiaceae	Ceratium	Ceratium tripos	Dinoflagellata
Ceratoneis	118586	Ceratoneis_closterium	Ochrophyta	Phototroph	"NA"	"NA"	"NA"	Bacillariophyta	NA	"NA"	"NA"	Ceratoneis closterium	Diatoms
Chaetoceros	-996	Chaetoceros_(Phaeoceros)	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros (Phaeoceros)	Diatoms
Chaetoceros	-20	Chaetoceros_(Phaeoceros)_<10_µm	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros (Phaeoceros) <10 µm	Diatoms
Chaetoceros	-21	Chaetoceros_(Phaeoceros)_10-20_µm	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros (Phaeoceros) 10-20 µm	Diatoms
Chaetoceros	-518	Chaetoceros_(Phaeoceros)_10-20x30-40_µm	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros (Phaeoceros) 10-20x30-40 µm	Diatoms
Chaetoceros	-520	Chaetoceros_(Phaeoceros)_10x10_µm	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros (Phaeoceros) 10x10 µm	Diatoms
Chaetoceros	-521	Chaetoceros_(Phaeoceros)_11-15x11-15_µm	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros (Phaeoceros) 11-15x11-15 µm	Diatoms
Chaetoceros	-519	Chaetoceros_(Phaeoceros)_12-13x16-18_µm	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros (Phaeoceros) 12-13x16-18 µm	Diatoms
Chaetoceros	-522	Chaetoceros_(Phaeoceros)_16-20x11-15_µm	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros (Phaeoceros) 16-20x11-15 µm	Diatoms
Chaetoceros	-523	Chaetoceros_(Phaeoceros)_21-30x11-15_µm	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros (Phaeoceros) 21-30x11-15 µm	Diatoms
