Match	LatinskNavn_id	name	Classification	Trophy	Kingdom	Supergroup	Division	Class	Order	Family	Genus	Species	Classification_1
Dictyochophyceae	-837	Dictyochophyceae_10-20_µm	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae	Dictyochophyceae_X	Dictyochophyceae_XX	Dictyochophyceae_XXX	Dictyochophyceae 10-20 µm	Ochrophyta
Dictyochophyceae	-838	Dictyochophyceae_20-40_µm	Ochrophyta	Phototroph	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae	Dictyochophyceae_X	Dictyochophyceae_XX	Dictyochophyceae_XXX	Dictyochophyceae 20-40 µm	Ochrophyta
Didinium	-583	Didinium_30-70x50-90_µm	Ciliophora	"NA"	Eukaryota	Alveolata	Ciliophora	Litostomatea	Haptoria_4	Didiniidae	Didinium	Didinium 30-70x50-90 µm	Ciliophora
Didinium	-417328	Didinium_nasutum	Ciliophora	"NA"	Eukaryota	Alveolata	Ciliophora	Litostomatea	Haptoria_4	Didiniidae	Didinium	Didinium nasutum	Ciliophora
Dinobryon	117309	Dinobryon_(Slekt)	Ochrophyta	Mixotroph	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-C	Dinobryon	Dinobryon (Slekt)	Ochrophyta
Dinobryon	-584	Dinobryon_2-4x3-5_µm	Ochrophyta	Mixotroph	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-C	Dinobryon	Dinobryon 2-4x3-5 µm	Ochrophyta
Dinobryon	-585	Dinobryon_2-4x8-10_µm	Ochrophyta	Mixotroph	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-C	Dinobryon	Dinobryon 2-4x8-10 µm	Ochrophyta
Dinobryon	-586	Dinobryon_3-5x4-6_µm	Ochrophyta	Mixotroph	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-C	Dinobryon	Dinobryon 3-5x4-6 µm	Ochrophyta
Dinobryon	117310	Dinobryon_balticum	Ochrophyta	Mixotroph	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-C	Dinobryon	Dinobryon balticum	Ochrophyta
Dinobryon_bavaricum	117311	Dinobryon_bavaricum	Ochrophyta	Mixotroph	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-C	Dinobryon	Dinobryon bavaricum	Ochrophyta
Dinobryon	117312	Dinobryon_bavaricum_vanhoeffenii_(Varietet)	Ochrophyta	Mixotroph	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-C	Dinobryon	Dinobryon bavaricum vanhoeffenii (Varietet)	Ochrophyta
Dinobryon	117313	Dinobryon_belgica	Ochrophyta	Mixotroph	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-C	Dinobryon	Dinobryon belgica	Ochrophyta
Dinobryon	117314	Dinobryon_borgei	Ochrophyta	Mixotroph	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-C	Dinobryon	Dinobryon borgei	Ochrophyta
Dinobryon	117315	Dinobryon_crenulatum	Ochrophyta	Mixotroph	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-C	Dinobryon	Dinobryon crenulatum	Ochrophyta
Dinobryon	117316	Dinobryon_cylindricum	Ochrophyta	Mixotroph	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-C	Dinobryon	Dinobryon cylindricum	Ochrophyta
Dinobryon	117317	Dinobryon_cylindricum_alpinum_(Varietet)	Ochrophyta	Mixotroph	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-C	Dinobryon	Dinobryon cylindricum alpinum (Varietet)	Ochrophyta
Dinobryon	117319	Dinobryon_divergens	Ochrophyta	Mixotroph	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-C	Dinobryon	Dinobryon divergens	Ochrophyta
Dinobryon_faculiferum	117321	Dinobryon_faculiferum	Ochrophyta	Mixotroph	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-C	Dinobryon	Dinobryon faculiferum	Ochrophyta
Dinobryon	117331	Dinobryon_sociale_americanum_(Varietet)	Ochrophyta	Mixotroph	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-C	Dinobryon	Dinobryon sociale americanum (Varietet)	Ochrophyta
Dinobryon	117334	Dinobryon_suecicum_longispinum_(Varietet)	Ochrophyta	Mixotroph	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-C	Dinobryon	Dinobryon suecicum longispinum (Varietet)	Ochrophyta
Dinoflagellat-cyster	-178	Dinoflagellat-cyster	Dinoflagellata	"NA"	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinoflagellat-cyster	Dinoflagellata
Dinophyceae	1470	Dinophyceae_(Klasse)	Dinoflagellata	"NA"	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae (Klasse)	Dinoflagellata
Dinophyceae	-587	Dinophyceae_<10_µm	Dinoflagellata	"NA"	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae <10 µm	Dinoflagellata
Dinophyceae	-839	Dinophyceae_10-15_µm	Dinoflagellata	"NA"	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae 10-15 µm	Dinoflagellata
Dinophyceae	-840	Dinophyceae_15-20_µm	Dinoflagellata	"NA"	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae 15-20 µm	Dinoflagellata
Dinophyceae	-588	Dinophyceae_20-25_µm	Dinoflagellata	"NA"	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae 20-25 µm	Dinoflagellata
Dinophyceae	-589	Dinophyceae_25-30_µm	Dinoflagellata	"NA"	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae 25-30 µm	Dinoflagellata
Dinophyceae	-590	Dinophyceae_40_µm	Dinoflagellata	"NA"	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae 40 µm	Dinoflagellata
